datetime,open,high,low,close,volume
2023-12-14 19:16:%00,16548.75,16548.75,16546.75,16547.00,7
2023-12-14 19:17:%00,16546.50,16546.50,16546.00,16546.50,3
2023-12-14 19:18:%00,16548.00,16549.50,16547.75,16549.50,6
2023-12-14 19:19:%00,16549.25,16550.00,16548.00,16548.25,9
2023-12-14 19:20:%00,16547.75,16551.00,16547.75,16549.75,6
2023-12-14 19:21:%00,16549.00,16549.75,16548.50,16549.75,7
2023-12-14 19:22:%00,16550.00,16550.00,16549.00,16549.00,2
2023-12-14 19:23:%00,16548.00,16548.25,16548.00,16548.25,2
2023-12-14 19:24:%00,16549.00,16549.75,16549.00,16549.75,5
2023-12-14 19:25:%00,16550.00,16550.75,16546.75,16547.50,47
2023-12-14 19:26:%00,16547.50,16550.25,16547.25,16550.00,25
2023-12-14 19:27:%00,16550.00,16551.00,16549.50,16549.75,26
2023-12-14 19:28:%00,16550.25,16551.25,16550.00,16550.50,11
2023-12-14 19:29:%00,16550.75,16553.50,16550.75,16552.75,16
2023-12-14 19:30:%00,16552.25,16553.50,16552.25,16553.50,3
2023-12-14 19:31:%00,16553.50,16554.50,16552.75,16553.00,12
2023-12-14 19:32:%00,16554.50,16555.25,16554.50,16555.00,7
2023-12-14 19:33:%00,16556.00,16557.00,16551.00,16551.25,12
2023-12-14 19:34:%00,16550.50,16551.50,16550.00,16551.25,6
2023-12-14 19:35:%00,16551.50,16552.75,16551.00,16551.50,9
2023-12-14 19:36:%00,16552.25,16552.25,16550.75,16551.25,6
2023-12-14 19:37:%00,16552.50,16553.00,16551.50,16553.00,3
2023-12-14 19:38:%00,16552.50,16552.50,16552.00,16552.00,2
2023-12-14 19:39:%00,16552.50,16554.00,16552.50,16554.00,4
2023-12-14 19:40:%00,16554.00,16554.50,16554.00,16554.25,3
2023-12-14 19:41:%00,16552.00,16552.00,16549.00,16549.00,55
2023-12-14 19:42:%00,16549.00,16552.25,16549.00,16551.00,47
2023-12-14 19:43:%00,16550.75,16551.75,16550.25,16550.25,11
2023-12-14 19:44:%00,16550.50,16551.25,16549.75,16550.50,7
2023-12-14 19:45:%00,16550.25,16554.25,16549.50,16554.25,7
2023-12-14 19:46:%00,16554.00,16554.50,16553.25,16553.75,16
2023-12-14 19:47:%00,16553.75,16554.00,16553.25,16553.25,2
2023-12-14 19:48:%00,16554.00,16555.00,16554.00,16555.00,3
2023-12-14 19:49:%00,16555.00,16555.00,16553.50,16554.00,5
2023-12-14 19:50:%00,16554.25,16555.50,16553.25,16554.75,9
2023-12-14 19:51:%00,16553.50,16553.50,16552.25,16552.25,4
2023-12-14 19:52:%00,16552.50,16552.50,16552.25,16552.25,2
2023-12-14 19:53:%00,16552.50,16552.50,16550.50,16550.50,2
2023-12-14 19:54:%00,16550.25,16550.25,16549.50,16549.50,4
2023-12-14 19:55:%00,16549.50,16549.75,16548.75,16548.75,3
2023-12-14 19:56:%00,16551.25,16551.25,16550.50,16550.50,4
2023-12-14 19:57:%00,16550.50,16551.00,16550.50,16551.00,2
2023-12-14 19:58:%00,16551.00,16551.00,16551.00,16551.00,0
2023-12-14 19:59:%00,16549.75,16549.75,16549.75,16549.75,1
2023-12-14 20:00:%00,16549.00,16551.00,16548.75,16551.00,5
2023-12-14 20:02:%00,16549.75,16550.25,16549.75,16550.25,2
2023-12-14 20:03:%00,16549.00,16550.50,16549.00,16550.50,4
2023-12-14 20:04:%00,16550.25,16550.50,16550.00,16550.50,3
2023-12-14 20:05:%00,16552.50,16553.25,16552.25,16552.75,6
2023-12-14 20:06:%00,16554.00,16555.50,16554.00,16555.25,9
2023-12-14 20:07:%00,16555.50,16556.75,16555.50,16556.75,6
2023-12-14 20:08:%00,16556.25,16556.25,16555.00,16555.00,2
2023-12-14 20:09:%00,16554.00,16554.00,16552.75,16553.75,4
2023-12-14 20:10:%00,16553.75,16555.25,16553.75,16554.25,11
2023-12-14 20:11:%00,16553.25,16553.25,16553.25,16553.25,1
2023-12-14 20:12:%00,16553.00,16553.75,16553.00,16553.50,7
2023-12-14 20:13:%00,16553.50,16554.00,16553.00,16554.00,2
2023-12-14 20:14:%00,16553.50,16553.50,16553.00,16553.00,2
2023-12-14 20:15:%00,16553.75,16558.25,16553.50,16556.50,11
2023-12-14 20:16:%00,16557.50,16557.50,16557.00,16557.00,3
2023-12-14 20:17:%00,16556.75,16558.50,16556.00,16556.00,6
2023-12-14 20:18:%00,16555.25,16555.25,16555.25,16555.25,1
2023-12-14 20:20:%00,16557.50,16557.50,16557.50,16557.50,1
2023-12-14 20:21:%00,16556.75,16556.75,16555.50,16555.50,5
2023-12-14 20:22:%00,16555.50,16555.50,16555.50,16555.50,0
2023-12-14 20:23:%00,16556.25,16556.25,16556.25,16556.25,1
2023-12-14 20:24:%00,16557.25,16558.50,16557.25,16558.50,5
2023-12-14 20:25:%00,16558.00,16559.50,16558.00,16559.00,10
2023-12-14 20:26:%00,16560.00,16560.00,16558.75,16558.75,8
2023-12-14 20:27:%00,16558.50,16558.50,16557.50,16558.00,10
2023-12-14 20:28:%00,16557.75,16558.75,16557.75,16557.75,3
2023-12-14 20:29:%00,16558.25,16560.00,16557.50,16560.00,16
2023-12-14 20:30:%00,16560.00,16562.50,16559.25,16561.00,30
2023-12-14 20:31:%00,16561.50,16562.50,16559.50,16561.75,17
2023-12-14 20:32:%00,16562.25,16562.25,16559.75,16559.75,20
2023-12-14 20:33:%00,16561.00,16561.00,16559.00,16559.00,10
2023-12-14 20:34:%00,16558.00,16558.75,16555.50,16558.75,15
2023-12-14 20:35:%00,16555.25,16557.25,16552.50,16557.00,10
2023-12-14 20:36:%00,16557.00,16558.25,16556.25,16557.50,7
2023-12-14 20:37:%00,16557.50,16557.75,16556.25,16556.25,6
2023-12-14 20:38:%00,16555.75,16555.75,16555.50,16555.50,2
2023-12-14 20:39:%00,16553.75,16553.75,16551.25,16552.00,9
2023-12-14 20:40:%00,16552.75,16553.25,16552.25,16552.25,4
2023-12-14 20:41:%00,16553.75,16553.75,16553.75,16553.75,1
2023-12-14 20:42:%00,16552.25,16553.00,16551.25,16551.25,6
2023-12-14 20:43:%00,16552.75,16553.25,16550.50,16550.50,6
2023-12-14 20:44:%00,16551.25,16551.25,16549.75,16549.75,4
2023-12-14 20:45:%00,16550.75,16552.50,16550.00,16550.00,11
2023-12-14 20:46:%00,16549.50,16551.00,16549.50,16551.00,2
2023-12-14 20:47:%00,16551.25,16552.25,16549.50,16550.75,7
2023-12-14 20:48:%00,16549.50,16550.75,16549.50,16550.25,4
2023-12-14 20:49:%00,16550.00,16550.25,16548.75,16549.00,19
2023-12-14 20:50:%00,16548.75,16550.25,16547.50,16550.00,39
2023-12-14 20:51:%00,16550.25,16551.00,16548.75,16551.00,7
2023-12-14 20:52:%00,16549.75,16550.25,16549.50,16549.75,8
2023-12-14 20:53:%00,16549.75,16550.25,16548.00,16549.25,12
2023-12-14 20:54:%00,16549.25,16549.75,16549.25,16549.75,3
2023-12-14 20:56:%00,16550.50,16550.50,16550.50,16550.50,1
2023-12-14 20:57:%00,16552.75,16553.75,16552.75,16553.75,4
2023-12-14 20:58:%00,16551.25,16555.00,16551.25,16552.50,7
2023-12-14 20:59:%00,16553.75,16554.25,16553.00,16553.50,6
2023-12-14 21:00:%00,16553.50,16554.25,16552.50,16554.25,6
2023-12-14 21:01:%00,16552.50,16552.50,16549.75,16551.25,9
2023-12-14 21:02:%00,16551.25,16551.25,16549.75,16549.75,4
2023-12-14 21:03:%00,16550.25,16551.00,16550.25,16550.25,10
2023-12-14 21:04:%00,16551.25,16551.50,16551.25,16551.50,2
2023-12-14 21:06:%00,16554.25,16554.25,16554.25,16554.25,1
2023-12-14 21:07:%00,16554.00,16555.00,16554.00,16555.00,3
2023-12-14 21:08:%00,16552.75,16552.75,16552.75,16552.75,1
2023-12-14 21:09:%00,16554.25,16554.25,16553.50,16553.50,3
2023-12-14 21:10:%00,16553.50,16554.25,16553.50,16554.25,1
2023-12-14 21:12:%00,16553.25,16555.00,16553.25,16554.25,7
2023-12-14 21:13:%00,16554.75,16555.50,16552.75,16552.75,6
2023-12-14 21:14:%00,16551.75,16553.75,16551.75,16553.75,2
2023-12-14 21:15:%00,16554.00,16554.50,16554.00,16554.50,2
2023-12-14 21:16:%00,16553.00,16553.00,16550.25,16551.75,5
2023-12-14 21:17:%00,16551.75,16551.75,16551.75,16551.75,0
2023-12-14 21:20:%00,16551.75,16551.75,16551.75,16551.75,0
2023-12-14 21:22:%00,16552.50,16552.50,16551.75,16551.75,2
2023-12-14 21:23:%00,16553.25,16554.00,16551.00,16551.00,7
2023-12-14 21:24:%00,16551.00,16551.00,16551.00,16551.00,0
2023-12-14 21:26:%00,16553.00,16554.00,16552.75,16554.00,7
2023-12-14 21:27:%00,16553.75,16553.75,16551.75,16553.50,6
2023-12-14 21:28:%00,16553.75,16553.75,16553.75,16553.75,1
2023-12-14 21:29:%00,16553.50,16553.50,16551.25,16551.75,5
2023-12-14 21:30:%00,16552.25,16552.75,16552.25,16552.75,7
2023-12-14 21:31:%00,16552.50,16552.50,16551.25,16551.25,2
2023-12-14 21:32:%00,16551.25,16551.75,16551.00,16551.75,4
2023-12-14 21:33:%00,16552.00,16552.00,16551.25,16551.25,4
2023-12-14 21:34:%00,16551.25,16552.75,16551.25,16552.75,6
2023-12-14 21:35:%00,16552.75,16552.75,16552.50,16552.50,1
2023-12-14 21:36:%00,16552.50,16552.75,16552.50,16552.50,2
2023-12-14 21:37:%00,16552.25,16552.75,16551.75,16551.75,4
2023-12-14 21:38:%00,16552.25,16553.00,16552.00,16553.00,3
2023-12-14 21:40:%00,16554.00,16555.00,16554.00,16555.00,2
2023-12-14 21:41:%00,16556.00,16556.00,16555.75,16555.75,2
2023-12-14 21:42:%00,16555.00,16555.25,16554.50,16555.25,5
